role,company,description,link
Data Engineer (ETL),PT Lawencon Internasional,"Job Description
We are seeking experienced professionals for the position of Data Engineer. The selected candidates will be responsible for designing, developing, and maintaining scalable data integration solutions using IBM DataStage and enterprise databases to support business and analytics needs.
Key Responsibilities
Design, develop, and maintain ETL processes using IBM DataStage
Develop and optimize complex SQL queries, stored procedures, and database scripts
Perform data extraction, transformation, and loading (ETL) from multiple data sources
Ensure data quality, integrity, and consistency across systems
Monitor and troubleshoot ETL jobs and resolve performance issues
Collaborate with Business Analysts, Data Analysts, and other stakeholders to understand data requirements
Support data warehouse development and enhancements
Perform impact analysis and provide technical documentation for data solutions
Participate in system testing, deployment, and production support activities
Requirements & Qualifications
Minimum 3 years of experience as a Data Engineer or in a related role
Hands-on experience with IBM DataStage
Strong knowledge of the following databases:
Oracle
Microsoft SQL Server
PostgreSQL
Solid understanding of ETL processes, data integration, and data warehousing concepts
Experience in troubleshooting and optimizing ETL performance
Preferably has experience in the banking or financial services industry
Strong analytical and problem-solving skills
Ability to work independently as well as in a team environment
Good communication skills",https://id.jobstreet.com/id/job/90416132?type=standard&ref=search-standalone&origin=jobCard#sol=3981794fe1b6959a0bcf59e27ce144e04eb207fb
Data Scientist,PT Kamoro Maxima Integra,"Role and Responsibilities:
Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.
Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.
Build and scale solutions in cloud environment to deliver clear, actionable insights for leadership and operations teams.
Design, implement, and maintain data-driven tools that solve complex business problems with advanced statistical and analytical methods.
Requirements:
Willingness to travel if required (up to 30%, primarily to mining site)
Strong proficiency in English, both written and verbal.
Minimum Bachelor’s degree in Statistics, Mathematics, Engineering, Physics, or a related field (more advanced degree is a plus).
More than 3 years' experience working as a Data Scientist is mandatory.
Hands-on expertise in predictive modeling (e.g., Regression, Random Forest, Gradient Boosting), time series analysis, NLP, anomaly detection, or survival analysis.
Proficiency in Python and its data science stack for data analysis, visualization, and modeling.
Solid knowledge of SQL and experience with big-data platforms (Snowflake experience is a plus).
Experience with cloud-based ML tools (Azure a big plus).
Proven ability to mentor, collaborate, and grow a high-performing data science team.
Strategic thinker with a proven track record of transforming data into actionable insights that drive decision-making.
Why join Us?
We offer very attractive salary and outstanding benefits.
Most of our clients are multinational company which you will be exposed to a large IT environment and valuable experience in international scale projects.
You will always learn new things as our projects always adopt latest technology and best practice available in the market.
Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here, your soft skill (professional relationships, character, attitude) will grow as fast as your technical skill",https://id.jobstreet.com/id/job/90097110?type=standard&ref=search-standalone&origin=cardTitle#sol=67de016f3932b437bf61ee85e881fc673447e584
Business Analyst (Insurance),PT Indocyber Global Teknologi,"Responsibilities
Analyze user requirements
Gather user requirements
Make SDLC process
Create documentation project such as Test Case, FSD, TSD, BRD, etc.
Prepare and deliver highly effective report
Qualifications
Candidate must possess at least a Bachelor's Degree, Computer Science/Information Technology or equivalent.
Experience and skill 2+ years as Business Analyst (Insurance/Banking).
Preferable have experience working in Insurance and/or Banking industry.
Experience in making project documentation (Test Case, Design, FSD, BRD, TSD, SRS).
Familiar with SDLC & Swagger 
Good communication (written & verbal) in English.
Strong analytical and planning skills.
Good communication and presentation skills.
Excellent problem-solving skills.
Willing to WFO in Jakarta.",https://id.jobstreet.com/id/job/90283219?type=standard&ref=search-standalone#sol=6eed4ac99a063b91bf3d3bc671e55cde94277bce
Affiliate/Ecommerce Data Analyst,PT. Hebe Beauty Style,"Responsibility:
Collect, process, and validate data from various sources (internal and external).
Prepare daily, weekly, and monthly reports according to business needs.
Create dashboards and data visualizations for easy analysis.
Monitor performance metrics (KPIs, sales, ads, affiliate, or operational data as required).
Ensure data accuracy, consistency, and completeness.
Conduct basic data analysis to provide insights and recommendations.
Coordinate with relevant teams (marketing, sales, operations, finance, etc.).
Organize and maintain data reports and documentation properly.

Requirements:
Minimum 1 year of experience in affiliate marketing or e-commerce roles.
STRONG PROFICIENCY in Excel.
FLUENT IN ENGLISH IS MANDATORY.
Good understanding of data processing and basic analysis.
Detail-oriented, organized, and comfortable working with numbers .
Able to work in a fast-paced environment and meet tight deadlines.
Clear communicator who can translate data into actionable insights for non-technical teams.",https://id.jobstreet.com/id/job/90096392?type=standard&ref=search-standalone&origin=jobCard#sol=77549c9f9cef6e09db887a1946cc2e53fa5dd310
Senior Data Analyst - Mobile Gaming,Live Play Mobile Inc,"Who We Are:
Live Play Mobile Inc. is an innovative leader in the mobile gaming industry, delivering immersive live gaming experiences that combine live entertainment with mobile play. Our flagship title, Live Play Bingo, features live hosts and real-time interaction, engaging players in a social and competitive environment. With decades of management experience in gaming and entertainment, we’re committed to pushing the boundaries of mobile games. As we grow, we seek talented individuals who are passionate about redefining the mobile gaming experience.
Job Summary:
We’re seeking a highly analytical and hands-on Data Analyst to drive insights across product and marketing initiatives for our live mobile game. In this role, you’ll play a key part in understanding player behavior, improving retention and monetization, and supporting data-driven decision-making across the company. Partnering closely with product, marketing, and developer teams, you’ll translate complex data into actionable insights while also owning the underlying data pipelines and analytics infrastructure that power the business.
Additionally this role is at the forefront of the AI revolution in analytics: it embraces GenAI/LLMs to accelerate output and deliver more complete, thorough analysis faster. You should be ahead of the curve using modern AI tools (e.g., Claude Code, OpenClaw, and the latest LLM models) to speed up exploratory analysis, experiment readouts, dashboard iteration, ETL development, documentation, and stakeholder communication—while maintaining high standards for accuracy, reproducibility, and data governance.
Responsibilities:
Work closely with product and marketing teams to deliver actionable insights that improve retention, engagement, and monetization.
Answer product and marketing questions through exploratory analysis and ad-hoc reporting.
Design and analyze A/B tests for game features, events, and monetization experiments.
Build and maintain dashboards for product, marketing, and leadership teams.
Own the end-to-end data pipeline, from raw event ingestion to analysis-ready tables.
Develop and maintain ETL workflows using both internal and third-party sources.
Manage data storage and transformations across S3 and Snowflake.
Orchestrate data workflows using Apache Airflow.
Ensure data quality, consistency, and reliability across the analytics stack.
Leverage GenAI/LLMs to accelerate analysis and development (SQL, Python, ETL, dashboards, documentation), and to create repeatable “analysis playbooks” and faster experiment reporting for stakeholders.
Evaluate and adopt new AI tools and workflows that improve team speed and decision quality, with appropriate validation, testing, and guardrails.
Required Experience
5+ years of experience in data analytics in mobile apps or gaming.
Strong SQL skills with experience querying large, complex datasets.
Experience analyzing user behavior, retention, monetization, and marketing performance.
Familiarity with A/B testing and experimental analysis.
Hands-on experience with modern data tools such as Snowflake, S3, or Airflow.
Experience building and maintaining ETL pipelines.
Experience with BI tools, preferably Looker.
Strong problem-solving skills and a business-oriented mindset.
Comfortable working cross-functionally with product, marketing, and engineering teams.
Self-motivated and able to take ownership of data projects end-to-end.
Strong presentation skills; ability to communicate complex results throughout an organization.
A love or strong desire to work with mobile games.
Demonstrated ability to use GenAI/LLM tools to accelerate analytics and engineering work (e.g., Claude Code, OpenClaw, or similar), with a clear approach to validating AI outputs and ensuring correctness.
Curiosity and initiative to stay current with new LLM models and GenAI tooling, and to apply them responsibly to improve speed, depth, and quality of insights.
Working Hours:
Full Time, flexible schedule
Must have reliable availability during California and European business hours
Compensation:
Competitive salary (paid in local currency)
Comprehensive Health insurance
Paid time off
Employment will be under local company and laws
Opportunity for expanded responsibilities and career development.
How To Apply:
Please send your CV, a brief note of interest, and a 1-minute video introducing yourself and describing why you’d be a great fit for this role.
EMAIL YOUR APPLICATION AND 1-MIN VIDEO INTRO TO: 
da-application@liveplaymobile.com ",https://id.jobstreet.com/id/job/90446990?type=standard&ref=search-standalone&origin=cardTitle#sol=1bebfaeb8789b81d7d200cc1183c66a9b107340b
Data Governance,PT Sigma Cipta Utama,"Kualifikasi :
Pendidikan minimal Sarjana S1 Teknik Informatika/Ilmu Komputer/Software Engineering atau setara.
Memiliki pengalaman kerja minimal 5 tahun project digital transformation, pengembangan aplikasi IT/Data Integration/Data Warehouse/Machine Learning secara penuh dari fase project initiation, planning, execution, monitoring hingga project closing.
Berpengalaman dalam merencanakan, merancang, dan mengimplementasikan integrated data governance dan data management pada project digital innovation maupun business process transformation. Preferable jika dapat dibuktikan dengan portfolio.
Menguasai DMBOK (Data Management body of Knowledge), kerangka kerja data governance (metadata, data lineage, data quality, data stewardship, master data). Preferable jika dapat dibuktikan dengan sertifikat CDMP (Certified Data Management Professionals).
Menguasai dan berpengalaman dengan data governance tools dan databases (SQL). Preferable jika dapat dibuktikan dengan portofolio.
Menguasai kemampuan komunikasi yang sangat baik terhadap seluruh level organisasi.",https://id.jobstreet.com/id/job/90301221?type=standard&ref=search-standalone&origin=cardTitle#sol=e00fd5e9054ca881569727f40e638c61d021e120
Apprenticeship - Actuarial EV,PT Prudential Life Assurance,"Responsibilities:
Support BAU, Planning, and Forecasting activity for Inforce metrices (Expected Return, Persistency-Expense-Claims-Other Variance, and OFSG). Including but not limited to assisting the deliverables of Group & internal management reports and metrics consolidations, assisting in responding to requests/queries, and assisting in investigation processes.
Focus on performing claim variance analysis and interpret results of analysis
Develop enhancement for work processes
Work with actuarial colleagues to develop actuarial understanding and demonstrate increasing knowledge of actuarial scope to build value adding
Requirements:
Currently pursuing or have completed Bachelor's degree in Actuarial Science or related field (Mathematics/Statistics)
Familiar to operate statistical & financial tools (Excel & SQL)
Preferred to have advance skill in Excel",https://id.jobstreet.com/id/job/90358785?type=standard&ref=search-standalone&origin=cardTitle#sol=48c7259afba0c78f6b9beae465ff6a706e057b4f
Credit Scoring & Portfolio Manager,PT Sejahtera Sama Kita,"What you will do

1. Credit Scoring &Modeling
Support HQ indevelopingandmaintainingcreditscoringmodelsusingSQL,Python,and machine learning techniques. Contribute to credit policy refinement through data-driven insights and model performance analysis.

2. Portfolio Monitoring & Reporting
Monitor portfolio performance, delinquency, and loss trends to identify early risk signals.
Deliver monthly portfolio reports and analytical insights for management and related business units.

3. Exploration of New Data Sources & Tools
Evaluate and test alternate local data sources or tools to enhance underwriting precision.
Lead proof-of-concept (POC) initiatives and assess their business and risk impact.

4. Regulatory & Partner Engagement
Represent the Credit Risk team in OJK audits and bank partner engagements.
Prepare reports and defend the company’s portfolio quality and underwriting standards to regulators and partners.

What you will need to have
1. Bachelor's or Master's in Finance, Statistics, Mathematics, Data Science, or related field.
2. 4-6 years experience in data science, credit scoring model development, portfolio analytics, or credit management. Ideally in fintech or retail banking. Exposure to OJK/regulatory audits is preferred.
3. Strong in SQL & Python skills, statistical modelling and ML knowledge.
4. Experience with portfolio reporting and impact analysis. Familiarity with OJK credit risk requirements.
5. Possess analytical and detail oriented. Strong communicator, able to present insights clearly.
6. Collaborative, and able to manage multiple priorities.",https://id.jobstreet.com/id/job/90428476?type=standard&ref=search-standalone#sol=263573d54a5544277e92d11eda8296aae6e58c72
Data Science,Steradian Data Optima,"Responsibilities
Develop analytical and machine learning models to generate predictive and prescriptive insights.
Support data-driven decision-making through advanced statistical analysis and modeling.
Perform feature engineering, model training, validation, and evaluation.
Collaborate with cross-functional teams to translate business problems into scalable data science solutions.
Deploy and monitor machine learning models in production environments.
Ensure model performance, reliability, and continuous improvement.
Requirements
Bachelor’s degree in Computer Science, Statistics, Mathematics, Data Science, Informatics Engineering, or a related field.
2–5 years of experience in data science or machine learning.
Strong proficiency in Python.
Hands-on experience with ML libraries such as Scikit-learn, TensorFlow, or PyTorch.
Solid understanding of SQL and data manipulation techniques.
Strong foundation in inferential statistics and probability.
Experience in feature engineering and model evaluation.
Experience building and deploying machine learning models to production.
Understanding of MLOps practices and model deployment (API, Docker, Cloud).
Nice to Have
AI/ML-related certifications.
Experience with Agentic AI implementations.
Experience working with Big Data platforms such as Snowflake, Azure, or BigQuery.
Experience in healthcare or finance domains.",https://id.jobstreet.com/id/job/90337633?type=standard&ref=search-standalone&origin=cardTitle#sol=d6ac8916cb07577bbc00146272a038c51ea54071
Research and Business Analyst,PT IDX Solusi Teknologi Informasi,"PT IDX Solusi Teknologi Informasi (IDXSTI) was established in November 2018 as a subsidiary of the Indonesia Stock Exchange (IDX) and other Self-Regulatory Organizations (SROs), including KPEI/IDClear and KSEI. IDXSTI focuses on providing Information Technology (IT) services for the Indonesian capital market and other financial industries. Our objective is to deliver the best IT solutions to support the growth and development of Indonesia’s capital market.
At IDXSTI, we are dedicated to pushing the boundaries of innovation in our industry. We are looking for a results-driven and integrated team player to join our Team.
Key Responsibilities:
Identify business problems and provide actionable, data-driven recommendations.
Analyze financial, operational, and market data to support strategic decision-making.
Prepare detailed reports, executive summaries, and presentations on findings.
Conduct market research, competitor analysis, industry trend assessments or regulatory demands.
Lead or participate in Requirement Gathering, Business Process Mapping, and Gap Analysis activities.
Develop business cases, feasibility studies, and risk scenarios based on research.
Collaborate with product, strategy, and executive teams to translate insights into tangible actions.
Recommend changes to the company to improve efficiency and effectiveness.
Recommend third parties to collaborate on IT & product development.
Assist in integration planning between IDSTI product and external services
Requirement:
Bachelor degree (S1) in Management/Business and/or Information Technology/Computer Science.
Business Analyst/Risk Management/IT Strategic Planning/Leadership certification is a plus.
Have good English language skills.
Plus: knowledge of Brokerage Office Systems (BOFIS) or other capital market-related systems, Candidates with knowledge of BOFIS, trading workflows, or capital market back-office processes will have a significant advantage.
Have experience in the field of business development/analyst at least 3 year.
Detail oriented, well organized and neat in completing every task regardless of distractions.
Strong experience preparing business documentation (business cases, feasibility reports, etc.).
Strong skills in quantitative and qualitative analysis, critical thinking, and data-based decision making.",https://id.jobstreet.com/id/job/90158247?type=standard&ref=search-standalone&origin=cardTitle#sol=58345f9e8fc36c7461bb388d658e4bb5f3b2a97c
Data Engineer,Sibernetik Integra Data,"Job Description:
Develop and integrate platforms that enable development teams to access infrastructure, tools, and services through self-service capabilities.
Design, build, and maintain data engineering solutions to support business and application requirements.
Develop and maintain automation scripts for infrastructure provisioning, configuration, and management.
Configure, maintain, and optimize Kubernetes clusters to ensure application availability, performance, and reliability.
Support implementation and management of Change Data Capture (CDC) and Kafka-based streaming solutions.
Monitor platform performance and troubleshoot issues to maintain system stability and security.
Support implementation and maintenance of monitoring and logging tools such as Grafana and ELK Stack.
Support CI/CD pipeline implementation and containerization processes using Docker, Kubernetes, and Helm Chart.
Collaborate with cross-functional teams to support application development and system integration.
Ensure platform and data infrastructure align with business needs, particularly within banking product processes.

Requirements:
Minimum Bachelor’s Degree (S1) from a reputable university in:
Computer Engineering
Informatics Engineering
Information Systems
Computer Science
Information Technology
Computer Systems
Management Information Systems
Minimum 3 years of experience as a Data Engineer.
Minimum 3 years of experience in projects or system development involving:
Change Data Capture (CDC)
Apache Kafka
Experience implementing or supporting projects involving:
Grafana
ELK Stack
CI/CD pipelines
Docker / Containerization
Kubernetes
Helm Chart
Strong understanding of Software Development Life Cycle (SDLC) including Waterfall and/or Agile methodologies.
Strong analytical skills with attention to detail.
Strong problem-finding and problem-solving capabilities.
Good understanding of banking product business processes.
Strong teamwork, communication, and interpersonal skills.",https://id.jobstreet.com/id/job/90303733?type=standard&ref=search-standalone#sol=a18bac4b21a113a829919edb59b68a3b37374cf0
Business Intelligence (Multifinance Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"The role

Are you a skilled Business Intelligence professional with experience in the multifinance industry? Sigmatech, a leading technology company, is seeking an exceptional Business Intelligence (Multifinance Industry) specialist to join their team. This full-time role is based in South Jakarta, Jakarta, offering the opportunity to work for a dynamic and innovative organisation.
Job Requirements Business Intelligence Engineer
Hard Skills
1. Business Intelligence Tools
• Berpengalaman menggunakan Looker (LookML, dashboarding, eksplorasi data)
• Menguasai Tableau (dashboard interaktif, data blending, calculated fields)
• Familiar dengan integrasi data antar BI tools
2. Programming & Data Processing
• Menguasai Python untuk analisis data, automasi, ETL sederhana, dan integrasi API
• Pemahaman dasar SQL (query, join, aggregation, CTE)
• Pengalaman dengan data wrangling (pandas, numpy) dan data visualization libraries
(matplotlib, seaborn, plotly)
3. Data Management
• Memahami konsep data warehouse (, BigQuery, PostgreSQL,SQLServer)
• Mengerti ETL/ELT pipeline (Airflow, Talent,sejenisnya)
• Pengetahuan dasar tentang data governance, data quality, dan metadata management
4. Analytical & Business Acumen
• Mampu menerjemahkan kebutuhan bisnis menjadi dashboard atau laporan
• Memahami KPI dan metrik bisnis (finance, sales, marketing, operations)
• Pengalaman membuat self-service BI environment
Soft Skills
• Kemampuan komunikasi yang baik untuk menjembatani tim bisnis dan tim teknis
• Problem solving dan critical thinking
• Mampu bekerja dalam tim lintas fungsi (Product, Data, Engineering, Business)
• Rapi dalam dokumentasi dan menyusun definisi data
(Minimum 1-3 years of experience in business intelligence, data analytics or a related field, preferably in the multifinance industry)

Key Responsibilities:
• Mendesain, membangun, dan memelihara dashboard di Looker dan Tableau
• Mengembangkan model data di Looker (LookML) dan membuat dataset yang reusable
• Menulis Python scripts untuk automasi laporan, ETL, atau integrasi API eksternal
• Bekerja sama dengan tim data engineer untuk mengoptimalkan pipeline data
• Menyediakan insight berbasis data untuk mendukung keputusan bisnis
• Membuat dokumentasi BI (data dictionary, definisi KPI, flow data)
• Melatih user bisnis dalam menggunakan dashboard secara self-service

About us

Sigmatech is a leading provider of innovative technology solutions for the multifinance industry. Our mission is to empower our clients with data-driven insights that drive business success. With a team of passionate professionals and a commitment to excellence, we are dedicated to delivering cutting-edge BI solutions that transform the way our clients operate.
If you're ready to take your career in business intelligence to the next level, we encourage you to apply now.",https://id.jobstreet.com/id/job/90467784?type=standard&ref=search-standalone#sol=5cd47bddc0ab309f0c470d6cd6aeac41a384d433
Data Engineer - Jakarta,PT. LIPPO KARAWACI TBK,"Key Responsibilities
Build, maintain, and optimize data pipelines (batch & basic streaming).
Ensure data quality, reliability, and performance.
Support data models and datasets for analytics and reporting.
Collaborate with analytics, product, and engineering teams.
Monitor and troubleshoot data pipeline issues.
Document data workflows and technical processes.
Job Qualifications
1–2 years of experience as a Data Engineer or related role.
Strong SQL skills and experience with relational databases.
Proficient in Python (or similar scripting language).
Experience with data warehouses (e.g., BigQuery, Redshift, Snowflake).
Good problem-solving skills and attention to detail.
Strong communication and collaboration skills.",https://id.jobstreet.com/id/job/90216681?type=standard&ref=search-standalone#sol=a998a4ea8dc35cf857351abce1b36399d6f29290
Senior Data Engineer (Mandarin Speaker),PT. HAND Solutions Indonesia,"Key Responsibilities
Pipeline Development: Build and maintain ETL/ELT pipelines to move data from various sources to data lakes or warehouses.
Data Architecture: Design, construct, and manage robust database systems and infrastructure.
Data Quality & Integrity: Implement methods to clean, aggregate, and improve data reliability.
Optimization & Monitoring: Monitor performance, troubleshoot issues, and optimize data infrastructure for efficiency.
Collaboration: Work with data scientists and analysts to understand data needs and build tools for advanced analytics.

Required Skills and Qualifications
Programming Languages: Proficiency in Python, SQL, or Java.
Big Data Technologies: Experience with Apache Spark, Hadoop, or Kafka.
Cloud Platforms: Familiarity with AWS (Redshift, S3), Google Cloud Platform, or Azure.
Database Knowledge: Expertise in relational databases (SQL) and NoSQL databases.
Background: Bachelor’s degree in Computer Science, Information Technology, or Applied Mathematics.
Other Skills: NL2SQL, and AI Dataset Training for BI
3+ years of experience in data engineering or software development.
Strong understanding of data modeling, warehousing, and schema design.
Familiarity with data governance, security, and privacy policies.",https://id.jobstreet.com/id/job/90188390?type=standard&ref=search-standalone&origin=cardTitle#sol=c457b8a12661dbe42fdfd2a8a04a0bbc273f1bc6
AI / Machine Learning Engineer – Quick Commerce App,Mataram Consultancy,"AI / Machine Learning Engineer – Quick Commerce App
Hiring Company: Confidential (Quick-Commerce / Fashion Tech Platform)
Recruitment Partner: Norvex Solutions
Location: Indonesia (Jakarta / Hybrid – as applicable)
Experience: 3–6 years (flexible based on capability)
Employment Type: Full-time
Apply at: Norvex@norvexsolutions.com
Role Overview
Our client, a fast-growing quick-commerce fashion tech company, is building AI-powered features for its mobile application to deliver personalized, real-time shopping experiences.
They are seeking an AI / Machine Learning Engineer to design, build, and scale intelligent features such as virtual wardrobe, outfit recommendations, personalization engines, and computer vision–based fashion recognition. This role is critical to delivering speed, accuracy, and personalization, which are core to quick commerce.
The role involves close collaboration with product, mobile, backend, and design teams in a high-ownership, product-driven environment.
Key Responsibilities
AI & Machine Learning Development
Design and implement computer vision models for clothing detection, classification, and attribute extraction (color, fabric, style, season)
Build recommendation systems using user behavior, purchase history, weather, occasion, and trend data
Develop personalization algorithms tailored to individual user preferences and style
Train, evaluate, and optimize models for low latency and high accuracy, especially for mobile use cases
Virtual Wardrobe & Styling Features
Enable users to upload images or sync purchases to create a digital wardrobe
Implement AI-driven tagging and wardrobe organization
Recommend outfits using:
Existing wardrobe items
Available quick-commerce inventory
Support mix-and-match, styling suggestions, and “buy-to-complete-the-look” experiences
Integration & Performance
Integrate AI models with iOS/Android apps and backend systems
Optimize models for real-time inference and edge/cloud deployment
Work with backend teams to connect AI recommendations to live catalogs and inventory
Ensure solutions scale to support high concurrent traffic
Data, Experimentation & Optimization
Work with large-scale image and behavioral datasets
Run A/B testing to continuously improve recommendation quality
Monitor model performance, bias, and drift in production
Required Skills & Qualifications
Technical Skills
Strong proficiency in Python
Hands-on experience with ML frameworks such as TensorFlow, PyTorch, ONNX
Solid experience in Computer Vision (CNNs, object detection, embeddings)
Proven experience building recommendation systems (collaborative, content-based, hybrid)
Familiarity with mobile ML deployment (TensorFlow Lite, Core ML)
Experience with REST APIs, cloud platforms (AWS / GCP / Azure), and MLOps pipelines
Understanding of databases and data pipelines
Domain & Industry Exposure
Understanding of fashion/apparel attributes and styling concepts (preferred)
Experience with e-commerce or quick-commerce platforms is a strong advantage
Nice-to-Have
Exposure to Generative AI for outfit visualization or styling
Knowledge of LLMs for conversational fashion assistants
Experience with high-scale consumer apps or real-time systems
Familiarity with AR / virtual try-on technologies
What the Client Offers
Opportunity to build cutting-edge AI features for a fast-scaling quick-commerce platform
End-to-end ownership of AI solutions impacting real users
Competitive compensation and long-term growth opportunity
Collaborative, fast-paced, product-first environment",https://id.jobstreet.com/id/job/90110172?type=standard&ref=search-standalone&origin=jobCard#sol=533486d53fedb60b829f27c99a0ceb862afb225b
Data Analyst Fleet,Pengiklan Anonim,"Kualifikasi Utama:
Pendidikan minimal S1 (Statistika, Matematika, Teknik Industri, Sistem Informasi, Informatika, atau jurusan terkait)
Pengalaman minimal 1-2 tahun sebagai Data Analyst, diutamakan industri logistik, transportasi, atau fleet
Sangat mahir Excel / Google Sheets dan terbiasa mengolah data kompleks
Berpengalaman membuat dashboard & visualisasi data (Power BI / Tableau / Looker)
Memahami dan menganalisis KPI fleet (utilisasi, BBM, maintenance, downtime, productivity)
Mampu memberikan insight & rekomendasi strategis berbasis data
Terbiasa berkoordinasi dengan tim operasional dan manajemen
Memiliki kemampuan analisis dasar, teliti, dan detail-oriented
Adaptif dan mampu bekerja di lingkungan perusahaan yang dinamis
Memiliki kemauan belajar tinggi dan komunikasi yang baik",https://id.jobstreet.com/id/job/89888429?type=standard&ref=search-standalone&origin=jobCard#sol=57748f2350158cd8ab40d3c7dddad7dbfe3aea5b
Financial Model Consultant,Ravenry,"About the Role
We are seeking a Financial Analyst who combines financial modeling capability with hands-on experience in the MERN stack (MongoDB, Express, React, Node.js) and TypeScript.
This role focuses on translating financial logic and statistical reasoning into scalable web-based simulation systems and decision-support tools.
Candidates with 2–3 years of relevant experience are preferred. Strong fresh graduates with solid technical foundations are also welcome to apply.
Key Responsibilities
Build and structure financial models (forecasting, cash flow, scenario analysis).
Implement financial logic in MERN + TypeScript applications.
Develop and enhance React-based dashboards and simulation interfaces.
Build backend services using Node.js and Express.
Manage financial data using MongoDB.
Integrate APIs and handle structured data flows (REST, JSON).
Test and validate model accuracy within web systems.
Collaborate with consultants and product teams on system improvements.

Requirements
Degree in IT / Computer Science, Finance, Business, or a related field.
2–3 years of relevant experience in financial analysis, modeling, or related roles (fresh graduates with strong technical skills may also apply).
Demonstrated experience building financial models (academic, internship, or professional).
Proficiency in TypeScript.
Practical understanding of the MERN stack
Understanding of frontend–backend data flow.
Familiarity with REST APIs and JSON.
Experience with Git.
Strong analytical reasoning and structured problem-solving skills.

What You’ll Gain
Exposure to real-world simulation systems used in corporate decision-making.
Hands-on experience building scalable financial engines in a modern web stack.
Cross-functional collaboration across finance, product, and engineering.
Growth toward Simulation Developer, Financial Systems Engineer, or Product Modeling roles.
About Int Labs
Int Labs is an innovative training and consultancy company built by practitioners, entrepreneurs, and founders. Originating in Singapore, we specialize in providing experiential, simulation-based training solutions, focusing on leadership development, innovation capabilities, and strategic planning for ambitious corporations in Indonesia and across the region.",https://id.jobstreet.com/id/job/90419240?type=standard&ref=search-standalone&origin=jobCard#sol=620e0b2caa394b61f72b542db3543b239b860280
Laboratory Analyst (Genomic & Molecular Testing),PT GENOMIK SOLIDARITAS INDONESIA,"Qualifications
We are looking for a highly motivated, detail-oriented individual with a strong interest in genomic and molecular laboratory work.
Requirements:
Bachelor’s degree (S1) in Biology, Biotechnology, Biomedicine, or related fields
Open for fresh graduates or candidates with relevant laboratory experience
Strong understanding of Good Microbiology Practice and molecular laboratory techniques
Good and accurate pipetting skills
Experience operating laboratory instruments such as extraction systems, PCR instruments, Electrophoresis equipment
Experience with sequencer or microarray platforms will be an advantage
Detail-oriented, disciplined, and able to work according to SOPs
Able to work both independently and collaboratively within a team
Strong commitment to quality, laboratory safety, and data integrity
Job Description
As a Laboratory Analyst, you will play a critical role in genomic and molecular testing processes, ensuring accurate, reliable, and high-quality laboratory results in accordance with established standards.
Key Responsibilities:
Prepare, verify, process, and properly store genomic samples in the laboratory
Operate, calibrate, and maintain laboratory instruments in accordance with SOPs
Perform method, reagent, and instrument validation to ensure accuracy and quality of test results
Manage storage of reagents, specimens, and consumables under appropriate conditions and temperatures
Implement and comply with laboratory quality management systems in accordance with ISO 9001, ISO 35001, and ISO 15189 standards
Support continuous quality improvement and laboratory safety practices
Collaborate with internal teams to ensure smooth testing workflow and timely reporting",https://id.jobstreet.com/id/job/90432261?type=standard&ref=search-standalone&origin=cardTitle#sol=aec942d285f22f03681c98e33c09d5319368d80a
